Environment,Disc,H,H_a,H_w
simple,R1,3.3713866112987763,2.5732854643040053,0.7981011469947717
simple,R2,3.3950969648310343,2.5646986071378035,0.8303983576932322
simple,R3,3.604068596563063,2.557581473831472,1.0464871227315986
simple,R4,3.561510581922905,2.543752814598898,1.0177577673240232
random0,R1,2.9628475310837965,2.578404487687186,0.38444304339661317
random0,R2,2.970540946181371,2.5736508372107445,0.3968901089706309
random0,R3,2.968963664703924,2.5749128106540677,0.39405085404986356
random0,R4,2.968933646742514,2.5684983121775886,0.4004353345649312
unident_s,R1,3.1481966871621077,2.579339873025824,0.5688568141362795
unident_s,R2,3.155105880541666,2.575622048408745,0.5794838321329213
unident_s,R3,3.556971603799351,2.5731790881934704,0.9837925156058857
unident_s,R4,3.5247236957583064,2.5668356514480815,0.9578880443102303
