from,to,action,p(s'a|s)
0,1158,3,0.23809523809523808
0,1158,5,0.19047619047619047
0,0,3,0.42857142857142855
0,0,5,0.047619047619047616
0,9169,1,0.047619047619047616
0,747,2,0.047619047619047616
1,1,3,0.0847457627118644
1,1,5,0.4576271186440678
1,7325,1,0.03389830508474576
1,3025,5,0.13559322033898305
1,13571,1,0.0847457627118644
1,14369,5,0.06779661016949153
1,14369,4,0.01694915254237288
1,10916,3,0.01694915254237288
1,8832,2,0.0847457627118644
1,1724,1,0.01694915254237288
2,2547,1,0.027777777777777776
2,3813,1,0.25925925925925924
2,2,2,0.18518518518518517
2,2,4,0.046296296296296294
2,2,5,0.07407407407407407
2,3221,5,0.18518518518518517
2,1092,2,0.018518518518518517
2,11783,1,0.009259259259259259
2,6541,3,0.07407407407407407
2,5628,1,0.07407407407407407
2,9509,5,0.027777777777777776
2,12649,3,0.009259259259259259
2,3524,0,0.009259259259259259
3,8238,1,0.5
3,991,1,0.5
4,5704,0,1.0
5,5,1,1.0
6,6,3,0.2
6,6,5,0.4
6,6,2,0.2
6,4353,5,0.2
7,7,5,0.5
7,7,2,0.15625
7,7,4,0.0625
7,3029,5,0.0625
7,5570,5,0.0625
7,4029,5,0.09375
7,10703,5,0.0625
8,7734,0,1.0
9,4435,1,0.05333333333333334
9,2865,5,0.21333333333333335
9,2865,3,0.08
9,2865,2,0.04
9,9,5,0.22666666666666666
9,9,3,0.02666666666666667
9,9,2,0.04
9,6936,5,0.02666666666666667
9,6936,3,0.013333333333333334
9,2542,0,0.18666666666666668
9,7332,1,0.02666666666666667
9,3178,5,0.04
9,10930,1,0.013333333333333334
9,9838,1,0.013333333333333334
10,10,5,0.2647058823529412
10,10,3,0.11764705882352941
10,13822,0,0.08823529411764706
10,11093,5,0.08823529411764706
10,9106,2,0.08823529411764706
10,10564,1,0.2647058823529412
10,12205,2,0.029411764705882353
10,312,1,0.029411764705882353
10,5311,1,0.029411764705882353
11,5616,0,1.0
12,13429,2,0.023809523809523808
12,12683,1,0.07142857142857142
12,4384,3,0.21428571428571427
12,8923,1,0.023809523809523808
12,1558,2,0.14285714285714285
12,12,5,0.16666666666666666
12,12,0,0.047619047619047616
12,12,4,0.023809523809523808
12,3414,5,0.047619047619047616
12,3414,4,0.023809523809523808
12,10,3,0.023809523809523808
12,6373,1,0.07142857142857142
12,9884,3,0.023809523809523808
12,5927,3,0.047619047619047616
12,10564,1,0.023809523809523808
12,5994,1,0.023809523809523808
13,13,5,0.6666666666666666
13,3026,5,0.3333333333333333
14,9585,1,0.3333333333333333
14,8147,5,0.3333333333333333
14,822,1,0.3333333333333333
15,11482,2,0.16666666666666666
15,5117,0,0.5
15,15,2,0.16666666666666666
15,11131,0,0.16666666666666666
16,16,2,0.12
16,16,3,0.056
16,16,5,0.2
16,5832,0,0.072
16,13192,5,0.024
16,13192,3,0.016
16,6796,2,0.024
16,6796,5,0.064
16,3791,2,0.016
16,3791,5,0.04
16,9038,5,0.056
16,9038,0,0.016
16,9038,2,0.008
16,1498,5,0.064
16,1498,2,0.016
16,7942,1,0.016
16,11097,1,0.104
16,647,3,0.008
16,647,5,0.016
16,7114,1,0.024
16,12416,0,0.008
16,4083,0,0.008
16,1056,1,0.016
16,3204,0,0.008
17,6269,0,0.05
17,4151,0,0.2
17,774,0,0.2
17,8730,5,0.05
17,17,2,0.25
17,9343,0,0.05
17,1780,0,0.1
17,6647,1,0.05
17,1669,5,0.05
18,8567,3,0.4
18,350,1,0.2
18,1068,0,0.2
18,442,1,0.2
19,19,5,0.631578947368421
19,19,2,0.05263157894736842
19,4566,5,0.07894736842105263
19,4566,2,0.02631578947368421
19,6324,3,0.10526315789473684
19,6388,5,0.05263157894736842
19,2704,1,0.02631578947368421
19,5369,0,0.02631578947368421
20,20,1,0.7647058823529411
20,20,5,0.058823529411764705
20,6528,3,0.058823529411764705
20,2673,1,0.058823529411764705
20,10234,1,0.058823529411764705
21,12165,3,0.07692307692307693
21,12165,4,0.07692307692307693
21,21,5,0.3076923076923077
21,21,4,0.3076923076923077
21,21,3,0.07692307692307693
21,395,2,0.07692307692307693
21,1179,1,0.07692307692307693
22,22,4,0.17857142857142858
22,22,3,0.07142857142857142
22,4221,5,0.2857142857142857
22,8638,5,0.03571428571428571
22,7764,4,0.03571428571428571
22,4203,5,0.25
22,10143,5,0.10714285714285714
22,853,2,0.03571428571428571
23,23,1,0.4482758620689655
23,9838,1,0.2413793103448276
23,9,0,0.034482758620689655
23,1271,0,0.06896551724137931
23,3178,0,0.034482758620689655
23,872,1,0.10344827586206896
23,3775,3,0.06896551724137931
24,12951,5,1.0
25,1308,1,0.3333333333333333
25,4700,1,0.3333333333333333
25,4839,1,0.3333333333333333
26,10543,0,1.0
27,6661,1,1.0
28,9402,0,0.625
28,2329,0,0.125
28,6684,0,0.125
28,8051,0,0.125
29,1841,0,0.06306306306306306
29,3874,0,0.18018018018018017
29,5594,2,0.09009009009009009
29,29,3,0.10810810810810811
29,29,5,0.25225225225225223
29,29,4,0.036036036036036036
29,124,5,0.02702702702702703
29,124,3,0.05405405405405406
29,9728,0,0.02702702702702703
29,14320,1,0.05405405405405406
29,12449,5,0.02702702702702703
29,12048,2,0.009009009009009009
29,6153,0,0.009009009009009009
29,7576,1,0.009009009009009009
29,8439,1,0.02702702702702703
29,9828,1,0.009009009009009009
29,1532,3,0.009009009009009009
29,1628,1,0.009009009009009009
30,12553,5,0.08333333333333333
30,13056,5,0.6666666666666666
30,13428,2,0.08333333333333333
30,9892,2,0.08333333333333333
30,10253,5,0.08333333333333333
31,5543,5,0.375
31,31,5,0.375
31,31,2,0.125
31,1174,3,0.125
32,4654,1,0.25
32,9134,1,0.25
32,7077,1,0.25
32,12707,1,0.25
33,13697,5,1.0
34,34,2,0.4444444444444444
34,34,5,0.47549019607843135
34,34,4,0.006535947712418301
34,125,5,0.024509803921568627
34,125,2,0.013071895424836602
34,11974,5,0.017973856209150325
34,11974,2,0.011437908496732025
34,12464,0,0.0016339869281045752
34,5233,3,0.0032679738562091504
34,2190,0,0.0016339869281045752
35,1274,5,0.14285714285714285
35,13469,5,0.07142857142857142
35,35,4,0.21428571428571427
35,35,3,0.14285714285714285
35,11755,5,0.21428571428571427
35,958,3,0.07142857142857142
35,868,0,0.07142857142857142
35,14443,5,0.07142857142857142
36,6968,1,1.0
37,37,4,0.1111111111111111
37,37,2,0.2222222222222222
37,5944,3,0.1111111111111111
37,5541,5,0.2222222222222222
37,404,0,0.1111111111111111
37,6723,0,0.1111111111111111
37,12003,3,0.1111111111111111
38,38,5,0.3333333333333333
38,10004,3,0.3333333333333333
38,6724,2,0.3333333333333333
39,39,5,0.21311475409836064
39,39,0,0.2786885245901639
39,10018,3,0.319672131147541
39,599,5,0.040983606557377046
39,324,0,0.00819672131147541
39,324,5,0.00819672131147541
39,7354,0,0.03278688524590164
39,1749,3,0.02459016393442623
39,13960,2,0.02459016393442623
39,13046,1,0.00819672131147541
39,5404,3,0.02459016393442623
39,13198,3,0.00819672131147541
39,11701,1,0.00819672131147541
40,5259,0,0.030303030303030304
40,7245,0,0.24242424242424243
40,83,1,0.30303030303030304
40,13627,1,0.09090909090909091
40,2408,3,0.12121212121212122
40,5045,3,0.06060606060606061
40,5045,2,0.030303030303030304
40,11533,0,0.06060606060606061
40,13060,1,0.030303030303030304
40,3164,1,0.030303030303030304
41,41,0,0.07692307692307693
41,41,5,0.038461538461538464
41,5050,1,0.34615384615384615
41,8257,1,0.038461538461538464
41,6645,1,0.038461538461538464
41,4753,3,0.038461538461538464
41,10578,1,0.15384615384615385
41,13330,3,0.19230769230769232
41,3609,3,0.038461538461538464
41,9985,1,0.038461538461538464
42,42,5,0.25146198830409355
42,42,4,0.005847953216374269
42,42,1,0.36257309941520466
42,3004,2,0.14035087719298245
42,4972,3,0.1286549707602339
42,4972,2,0.005847953216374269
42,12470,0,0.04093567251461988
42,2002,1,0.005847953216374269
42,2002,5,0.011695906432748537
42,8120,0,0.023391812865497075
42,12684,0,0.011695906432748537
42,14067,3,0.005847953216374269
42,12691,1,0.005847953216374269
43,4456,0,0.21428571428571427
43,2398,1,0.07142857142857142
43,43,5,0.21428571428571427
43,11369,3,0.14285714285714285
43,634,1,0.07142857142857142
43,11111,1,0.07142857142857142
43,5815,1,0.07142857142857142
43,2808,4,0.07142857142857142
43,3995,1,0.07142857142857142
44,3290,3,0.047619047619047616
44,44,5,0.14285714285714285
44,44,2,0.23809523809523808
44,12526,2,0.023809523809523808
44,12526,5,0.023809523809523808
44,4179,0,0.21428571428571427
44,6857,1,0.023809523809523808
44,12460,1,0.09523809523809523
44,1772,1,0.07142857142857142
44,12677,1,0.047619047619047616
44,2325,2,0.023809523809523808
44,14382,1,0.023809523809523808
44,4089,0,0.023809523809523808
45,7888,2,0.3333333333333333
45,12703,0,0.16666666666666666
45,11303,2,0.16666666666666666
45,10435,5,0.16666666666666666
45,14087,0,0.16666666666666666
46,14132,3,0.3333333333333333
46,9969,0,0.3333333333333333
46,13664,0,0.3333333333333333
47,47,5,0.5
47,8151,2,0.5
48,10079,5,0.16666666666666666
48,10586,5,0.16666666666666666
48,6343,5,0.16666666666666666
48,48,2,0.3333333333333333
48,11383,5,0.16666666666666666
49,8500,5,0.3137254901960784
49,6764,2,0.09019607843137255
49,11773,1,0.050980392156862744
49,13810,3,0.01568627450980392
49,13810,4,0.00392156862745098
49,49,3,0.19215686274509805
49,49,4,0.027450980392156862
49,8939,1,0.03529411764705882
49,14219,1,0.00392156862745098
49,8302,5,0.12549019607843137
49,13948,5,0.027450980392156862
49,9934,0,0.047058823529411764
49,2236,3,0.00392156862745098
49,741,1,0.023529411764705882
49,2186,2,0.00784313725490196
49,7681,5,0.01568627450980392
49,5294,5,0.00392156862745098
49,1405,0,0.00392156862745098
49,8742,1,0.00784313725490196
50,9924,5,0.5384615384615384
50,50,2,0.23076923076923078
50,50,4,0.07692307692307693
50,50,5,0.15384615384615385
51,1251,1,1.0
52,1660,0,0.016666666666666666
52,52,1,0.5611111111111111
52,52,5,0.07777777777777778
52,52,4,0.011111111111111112
52,8742,0,0.016666666666666666
52,4859,1,0.027777777777777776
52,4859,5,0.005555555555555556
52,5579,3,0.011111111111111112
52,2567,2,0.044444444444444446
52,2567,0,0.027777777777777776
52,4523,3,0.005555555555555556
52,8939,0,0.09444444444444444
52,12189,1,0.05555555555555555
52,741,0,0.016666666666666666
52,3600,0,0.005555555555555556
52,13094,3,0.005555555555555556
52,11773,0,0.011111111111111112
52,10323,2,0.005555555555555556
53,53,5,0.6666666666666666
53,53,2,0.047619047619047616
53,12456,5,0.10476190476190476
53,12456,2,0.01904761904761905
53,12456,4,0.009523809523809525
53,8849,5,0.13333333333333333
53,8849,2,0.01904761904761905
54,9822,0,1.0
55,55,5,0.7027027027027027
55,55,4,0.06756756756756757
55,55,2,0.06756756756756757
55,55,3,0.04054054054054054
55,8842,5,0.06756756756756757
55,5778,2,0.02702702702702703
55,10827,0,0.02702702702702703
56,7115,1,1.0
57,8097,1,0.2222222222222222
57,2261,0,0.1111111111111111
57,57,3,0.1111111111111111
57,57,5,0.4444444444444444
57,7158,5,0.1111111111111111
58,58,5,0.17857142857142858
58,58,4,0.25
58,58,3,0.14285714285714285
58,11874,4,0.03571428571428571
58,11874,3,0.10714285714285714
58,4346,1,0.14285714285714285
58,2898,1,0.07142857142857142
58,9515,2,0.03571428571428571
58,3003,0,0.03571428571428571
59,59,0,0.35
59,13569,2,0.075
59,4507,3,0.025
59,4001,5,0.525
59,2878,5,0.025
60,1800,5,0.3686868686868687
60,60,3,0.2222222222222222
60,60,4,0.010101010101010102
60,2735,5,0.13131313131313133
60,13022,5,0.1111111111111111
60,2518,5,0.010101010101010102
60,76,5,0.0707070707070707
60,343,2,0.010101010101010102
60,343,0,0.005050505050505051
60,13016,3,0.025252525252525252
60,5239,0,0.005050505050505051
60,5239,2,0.010101010101010102
60,12014,0,0.010101010101010102
60,4021,5,0.005050505050505051
60,11629,5,0.005050505050505051
61,61,5,0.4084507042253521
61,61,4,0.028169014084507043
61,61,3,0.04225352112676056
61,13648,5,0.028169014084507043
61,9599,5,0.1267605633802817
61,9599,3,0.028169014084507043
61,9599,4,0.014084507042253521
61,7696,0,0.09859154929577464
61,13695,1,0.028169014084507043
61,6512,0,0.014084507042253521
61,3745,2,0.014084507042253521
61,9320,5,0.028169014084507043
61,9320,3,0.014084507042253521
61,13313,0,0.014084507042253521
61,5298,0,0.08450704225352113
61,10922,2,0.014084507042253521
61,3173,0,0.014084507042253521
62,62,5,0.46875
62,62,2,0.09375
62,3800,5,0.09375
62,6547,3,0.125
62,12424,0,0.03125
62,9270,0,0.03125
62,6699,3,0.03125
62,10685,1,0.0625
62,4757,1,0.03125
62,9835,0,0.03125
63,63,2,0.4791666666666667
63,63,4,0.020833333333333332
63,13734,0,0.0625
63,6824,2,0.041666666666666664
63,1160,5,0.3125
63,6430,5,0.041666666666666664
63,12237,5,0.020833333333333332
63,2612,0,0.020833333333333332
64,64,2,0.1111111111111111
64,64,5,0.2222222222222222
64,1029,5,0.1111111111111111
64,2213,5,0.1111111111111111
64,7568,3,0.2222222222222222
64,10222,1,0.1111111111111111
64,11162,1,0.1111111111111111
65,65,3,0.040345821325648415
65,65,5,0.622478386167147
65,11518,5,0.2420749279538905
65,11518,3,0.002881844380403458
65,11518,4,0.002881844380403458
65,9317,2,0.04610951008645533
65,13033,2,0.0345821325648415
65,10386,5,0.002881844380403458
65,12228,1,0.002881844380403458
65,4187,1,0.002881844380403458
66,66,2,0.14285714285714285
66,66,5,0.39285714285714285
66,324,0,0.03571428571428571
66,9612,3,0.21428571428571427
66,417,5,0.07142857142857142
66,417,2,0.03571428571428571
66,1749,3,0.03571428571428571
66,12375,1,0.03571428571428571
66,14128,5,0.03571428571428571
67,67,5,0.4166666666666667
67,67,4,0.08333333333333333
67,12892,3,0.4166666666666667
67,12375,1,0.08333333333333333
68,2166,1,0.01834862385321101
68,7703,5,0.27522935779816515
68,68,2,0.3761467889908257
68,68,4,0.009174311926605505
68,7605,5,0.1834862385321101
68,14347,0,0.027522935779816515
68,7477,1,0.01834862385321101
68,248,2,0.009174311926605505
68,10478,1,0.01834862385321101
68,5704,1,0.027522935779816515
68,11996,3,0.009174311926605505
68,1692,3,0.027522935779816515
69,7979,0,0.3088235294117647
69,9222,2,0.029411764705882353
69,9222,5,0.029411764705882353
69,13182,3,0.10294117647058823
69,69,5,0.20588235294117646
69,69,2,0.14705882352941177
69,69,4,0.014705882352941176
69,2902,5,0.058823529411764705
69,2902,4,0.014705882352941176
69,1071,0,0.04411764705882353
69,9399,0,0.014705882352941176
69,6872,3,0.029411764705882353
70,6376,1,0.6470588235294118
70,1251,1,0.29411764705882354
70,1506,1,0.029411764705882353
70,5713,1,0.029411764705882353
71,71,2,0.16666666666666666
71,71,5,0.3333333333333333
71,10580,5,0.16666666666666666
71,7510,5,0.16666666666666666
71,7698,0,0.16666666666666666
72,11261,5,0.42857142857142855
72,13888,1,0.14285714285714285
72,72,4,0.14285714285714285
72,10158,1,0.14285714285714285
72,311,5,0.14285714285714285
73,73,5,0.14285714285714285
73,12046,0,0.21428571428571427
73,13510,2,0.07142857142857142
73,6526,2,0.2857142857142857
73,10382,1,0.07142857142857142
73,8473,1,0.07142857142857142
73,5951,2,0.07142857142857142
73,9008,5,0.07142857142857142
74,10459,1,1.0
75,13475,5,0.5
75,10354,5,0.5
76,8133,0,0.55
76,2454,0,0.1
76,1026,0,0.05
76,76,2,0.05
76,76,3,0.1
76,6991,0,0.1
76,60,5,0.05
77,9917,0,1.0
78,5835,0,0.2
78,10780,3,0.1
78,78,2,0.4
78,13986,5,0.1
78,1470,5,0.1
78,7927,5,0.1
79,14256,2,0.5
79,4575,1,0.5
