from,to,action,p(s'a|s)
0,260,3,0.2857142857142857
0,1467,0,0.14285714285714285
0,1467,2,0.14285714285714285
0,0,5,0.14285714285714285
0,0,4,0.14285714285714285
0,1703,4,0.14285714285714285
1,2098,5,1.0
2,1860,2,0.5
2,2148,1,0.5
3,3,4,0.3333333333333333
3,1222,5,0.3333333333333333
3,1622,2,0.3333333333333333
4,4,4,0.5
4,1438,0,0.5
5,683,2,0.015873015873015872
5,683,0,0.015873015873015872
5,1491,0,0.09523809523809523
5,693,0,0.031746031746031744
5,577,3,0.047619047619047616
5,5,4,0.07936507936507936
5,5,2,0.047619047619047616
5,1003,2,0.1746031746031746
5,1003,4,0.06349206349206349
5,1003,3,0.07936507936507936
5,444,5,0.06349206349206349
5,1649,1,0.015873015873015872
5,2609,0,0.031746031746031744
5,1434,1,0.031746031746031744
5,1189,0,0.015873015873015872
5,2063,1,0.09523809523809523
5,456,1,0.015873015873015872
5,1139,5,0.015873015873015872
5,2152,0,0.031746031746031744
5,2201,5,0.015873015873015872
5,2387,3,0.015873015873015872
6,2287,3,1.0
7,1840,0,1.0
8,2594,3,0.5
8,8,4,0.25
8,2422,1,0.25
9,9,5,0.3333333333333333
9,9,4,0.1111111111111111
9,9,2,0.1111111111111111
9,2166,3,0.2222222222222222
9,2536,0,0.2222222222222222
10,1077,1,0.1111111111111111
10,10,3,0.1111111111111111
10,10,5,0.4444444444444444
10,10,2,0.2222222222222222
10,2120,0,0.1111111111111111
11,1397,0,0.16666666666666666
11,2414,1,0.3333333333333333
11,903,3,0.16666666666666666
11,903,2,0.16666666666666666
11,11,5,0.16666666666666666
12,2543,0,0.03910614525139665
12,2394,1,0.03910614525139665
12,1327,4,0.18435754189944134
12,1327,3,0.0670391061452514
12,1327,2,0.0782122905027933
12,1359,0,0.027932960893854747
12,12,2,0.01675977653631285
12,12,3,0.0335195530726257
12,12,4,0.027932960893854747
12,1597,0,0.0335195530726257
12,1883,5,0.05027932960893855
12,1855,0,0.00558659217877095
12,1855,3,0.03910614525139665
12,1710,1,0.03910614525139665
12,2463,5,0.03910614525139665
12,523,0,0.055865921787709494
12,807,1,0.05027932960893855
12,1382,3,0.01675977653631285
12,1326,1,0.00558659217877095
12,2074,1,0.00558659217877095
12,461,2,0.0335195530726257
12,461,0,0.00558659217877095
12,2258,5,0.01675977653631285
12,424,1,0.01675977653631285
12,1503,2,0.01675977653631285
12,1503,0,0.00558659217877095
12,482,5,0.0111731843575419
12,1489,5,0.0111731843575419
12,145,5,0.00558659217877095
12,2664,5,0.0111731843575419
12,2151,0,0.00558659217877095
12,1455,5,0.00558659217877095
13,13,3,0.5
13,283,2,0.5
14,2473,2,1.0
15,15,5,0.5
15,1903,1,0.5
16,251,1,1.0
17,17,3,0.1753410813542193
17,17,2,0.15260232440626578
17,17,5,0.16270843860535625
17,17,4,0.1662455785750379
17,2643,0,0.1596766043456291
17,2588,1,0.08135421930267812
17,1752,1,0.0833754421424962
17,970,3,0.0035371399696816574
17,970,4,0.00202122283981809
17,970,5,0.00202122283981809
17,970,2,0.001010611419909045
17,924,1,0.00202122283981809
17,177,0,0.00404244567963618
17,313,0,0.0025265285497726125
17,2491,1,0.0015159171298635675
18,18,3,0.058823529411764705
18,18,2,0.23529411764705882
18,18,4,0.17647058823529413
18,18,5,0.17647058823529413
18,540,0,0.058823529411764705
18,2045,1,0.11764705882352941
18,1941,0,0.11764705882352941
18,2003,5,0.058823529411764705
19,19,4,0.25
19,19,2,0.25
19,954,0,0.25
19,2534,1,0.25
20,1350,5,1.0
21,1977,3,0.25
21,21,4,0.375
21,21,5,0.125
21,1208,1,0.125
21,678,1,0.125
22,22,4,0.3333333333333333
22,1516,0,0.6666666666666666
23,2470,0,0.5
23,1259,1,0.5
24,290,0,1.0
25,916,3,0.18886539816772374
25,916,2,0.1324876673713883
25,916,0,0.12050739957716702
25,25,5,0.16772374911909796
25,25,4,0.17054263565891473
25,25,1,0.1733615221987315
25,680,0,0.021846370683579985
25,1299,1,0.0007047216349541931
25,1299,4,0.0007047216349541931
25,409,0,0.02255109231853418
25,1995,0,0.0007047216349541931
26,26,4,0.5
26,205,1,0.5
27,1473,0,1.0
28,983,5,1.0
29,29,4,0.17647058823529413
29,29,3,0.11764705882352941
29,29,5,0.11764705882352941
29,29,2,0.17647058823529413
29,178,0,0.058823529411764705
29,1405,1,0.23529411764705882
29,2533,0,0.11764705882352941
30,2323,1,0.08333333333333333
30,464,1,0.08333333333333333
30,775,0,0.08333333333333333
30,30,3,0.3333333333333333
30,1993,1,0.08333333333333333
30,1892,5,0.08333333333333333
30,1601,3,0.08333333333333333
30,196,0,0.08333333333333333
30,2397,2,0.08333333333333333
31,1158,4,1.0
32,250,1,0.5
32,743,4,0.5
33,730,3,0.10909090909090909
