id,value,p(s)
0,HELD_PLAYER(NOTHING)+HELD_PARTNER(DISH)+POT_STATE(POT0;FINISHED)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;TOP)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;INTERACT)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(WEST),1.1637572734829593e-05
1,HELD_PLAYER(ONION)+HELD_PARTNER(DISH)+POT_STATE(POT0;PREPARING)+POT_STATE(POT1;COOKING)+ACTION2NEAREST(ONION;STAY)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;RIGHT)+PARTNER_POSITION(SOUTHWEST),1.6625103906899418e-06
2,HELD_PLAYER(ONION)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;FINISHED)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),4.987531172069825e-06
3,HELD_PLAYER(ONION)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;COOKING)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;RIGHT)+PARTNER_POSITION(SOUTHWEST),4.987531172069825e-06
4,HELD_PLAYER(ONION)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;COOKING)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;TOP)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(SOUTHWEST),3.3250207813798835e-06
5,HELD_PLAYER(NOTHING)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;NOT_STARTED)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;INTERACT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),0.00010640066500415627
6,HELD_PLAYER(NOTHING)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;PREPARING)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;INTERACT)+ACTION2NEAREST(POT1;RIGHT)+PARTNER_POSITION(WEST),1.6625103906899418e-06
7,HELD_PLAYER(ONION)+HELD_PARTNER(DISH)+POT_STATE(POT0;FINISHED)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;INTERACT)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;RIGHT)+PARTNER_POSITION(SOUTHWEST),1.6625103906899418e-06
8,HELD_PLAYER(SOUP)+HELD_PARTNER(ONION)+POT_STATE(POT0;PREPARING)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;INTERACT)+ACTION2NEAREST(POT1;RIGHT)+PARTNER_POSITION(WEST),6.650041562759767e-06
9,HELD_PLAYER(NOTHING)+HELD_PARTNER(ONION)+POT_STATE(POT0;NOT_STARTED)+POT_STATE(POT1;FINISHED)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;INTERACT)+PARTNER_POSITION(WEST),1.4962593516209477e-05
10,HELD_PLAYER(NOTHING)+HELD_PARTNER(ONION)+POT_STATE(POT0;NOT_STARTED)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;TOP)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;BOTTOM)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),1.662510390689942e-05
11,HELD_PLAYER(SOUP)+HELD_PARTNER(ONION)+POT_STATE(POT0;PREPARING)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),9.97506234413965e-06
12,HELD_PLAYER(NOTHING)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;PREPARING)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;INTERACT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),0.0002975893599334996
13,HELD_PLAYER(ONION)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;FINISHED)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;RIGHT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;TOP)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(WEST),3.3250207813798835e-06
14,HELD_PLAYER(DISH)+HELD_PARTNER(ONION)+POT_STATE(POT0;NOT_STARTED)+POT_STATE(POT1;FINISHED)+ACTION2NEAREST(ONION;INTERACT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;RIGHT)+PARTNER_POSITION(WEST),4.987531172069825e-06
15,HELD_PLAYER(DISH)+HELD_PARTNER(ONION)+POT_STATE(POT0;PREPARING)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;INTERACT)+PARTNER_POSITION(WEST),3.3250207813798835e-06
16,HELD_PLAYER(NOTHING)+HELD_PARTNER(DISH)+POT_STATE(POT0;FINISHED)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(SOUTHWEST),1.6625103906899418e-06
17,HELD_PLAYER(NOTHING)+HELD_PARTNER(ONION)+POT_STATE(POT0;PREPARING)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),0.003313383208645054
18,HELD_PLAYER(NOTHING)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;FINISHED)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;STAY)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;TOP)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),2.826267664172901e-05
19,HELD_PLAYER(ONION)+HELD_PARTNER(ONION)+POT_STATE(POT0;PREPARING)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;INTERACT)+PARTNER_POSITION(SOUTHWEST),6.650041562759767e-06
20,HELD_PLAYER(NOTHING)+HELD_PARTNER(DISH)+POT_STATE(POT0;NOT_STARTED)+POT_STATE(POT1;FINISHED)+ACTION2NEAREST(ONION;RIGHT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;INTERACT)+ACTION2NEAREST(DISH;TOP)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),1.6625103906899418e-06
21,HELD_PLAYER(NOTHING)+HELD_PARTNER(ONION)+POT_STATE(POT0;PREPARING)+POT_STATE(POT1;FINISHED)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;INTERACT)+ACTION2NEAREST(POT1;RIGHT)+PARTNER_POSITION(WEST),1.3300083125519534e-05
22,HELD_PLAYER(NOTHING)+HELD_PARTNER(ONION)+POT_STATE(POT0;NOT_STARTED)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;TOP)+ACTION2NEAREST(SERVICE;INTERACT)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),4.987531172069825e-06
23,HELD_PLAYER(ONION)+HELD_PARTNER(ONION)+POT_STATE(POT0;COOKING)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;TOP)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(WEST),3.3250207813798835e-06
24,HELD_PLAYER(NOTHING)+HELD_PARTNER(ONION)+POT_STATE(POT0;PREPARING)+POT_STATE(POT1;FINISHED)+ACTION2NEAREST(ONION;TOP)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;TOP)+ACTION2NEAREST(SERVICE;INTERACT)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),1.6625103906899418e-06
25,HELD_PLAYER(ONION)+HELD_PARTNER(ONION)+POT_STATE(POT0;PREPARING)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;TOP)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;INTERACT)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),0.002367414796342477
26,HELD_PLAYER(SOUP)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;NOT_STARTED)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;INTERACT)+PARTNER_POSITION(WEST),3.3250207813798835e-06
27,HELD_PLAYER(NOTHING)+HELD_PARTNER(ONION)+POT_STATE(POT0;NOT_STARTED)+POT_STATE(POT1;FINISHED)+ACTION2NEAREST(ONION;RIGHT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;TOP)+ACTION2NEAREST(SERVICE;INTERACT)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),1.6625103906899418e-06
28,HELD_PLAYER(ONION)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;COOKING)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;INTERACT)+PARTNER_POSITION(SOUTHWEST),1.6625103906899418e-06
29,HELD_PLAYER(ONION)+HELD_PARTNER(ONION)+POT_STATE(POT0;FINISHED)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;STAY)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;TOP)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),2.9925187032418953e-05
30,HELD_PLAYER(NOTHING)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;FINISHED)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;INTERACT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;RIGHT)+PARTNER_POSITION(WEST),1.99501246882793e-05
31,HELD_PLAYER(NOTHING)+HELD_PARTNER(ONION)+POT_STATE(POT0;FINISHED)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;TOP)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(SOUTHWEST),1.6625103906899418e-06
32,HELD_PLAYER(NOTHING)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;COOKING)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;INTERACT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),3.3250207813798835e-06
33,HELD_PLAYER(NOTHING)+HELD_PARTNER(ONION)+POT_STATE(POT0;NOT_STARTED)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;INTERACT)+ACTION2NEAREST(POT1;RIGHT)+PARTNER_POSITION(WEST),0.0002743142144638404
34,HELD_PLAYER(NOTHING)+HELD_PARTNER(DISH)+POT_STATE(POT0;PREPARING)+POT_STATE(POT1;COOKING)+ACTION2NEAREST(ONION;TOP)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(SOUTHWEST),9.97506234413965e-06
35,HELD_PLAYER(NOTHING)+HELD_PARTNER(NOTHING)+POT_STATE(POT0;FINISHED)+POT_STATE(POT1;FINISHED)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;TOP)+ACTION2NEAREST(SERVICE;INTERACT)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(WEST),1.6625103906899418e-06
36,HELD_PLAYER(NOTHING)+HELD_PARTNER(ONION)+POT_STATE(POT0;NOT_STARTED)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;INTERACT)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;RIGHT)+PARTNER_POSITION(WEST),8.31255195344971e-06
37,HELD_PLAYER(NOTHING)+HELD_PARTNER(ONION)+POT_STATE(POT0;NOT_STARTED)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;LEFT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),0.008136325852036575
38,HELD_PLAYER(NOTHING)+HELD_PARTNER(DISH)+POT_STATE(POT0;NOT_STARTED)+POT_STATE(POT1;FINISHED)+ACTION2NEAREST(ONION;INTERACT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),7.98004987531172e-05
39,HELD_PLAYER(NOTHING)+HELD_PARTNER(DISH)+POT_STATE(POT0;COOKING)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;STAY)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(SOUTHWEST),6.650041562759767e-06
40,HELD_PLAYER(ONION)+HELD_PARTNER(ONION)+POT_STATE(POT0;NOT_STARTED)+POT_STATE(POT1;NOT_STARTED)+ACTION2NEAREST(ONION;RIGHT)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;LEFT)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;TOP)+PARTNER_POSITION(NORTHWEST),1.6625103906899418e-06
41,HELD_PLAYER(NOTHING)+HELD_PARTNER(DISH)+POT_STATE(POT0;FINISHED)+POT_STATE(POT1;PREPARING)+ACTION2NEAREST(ONION;BOTTOM)+ACTION2NEAREST(TOMATO;STAY)+ACTION2NEAREST(SOUP;STAY)+ACTION2NEAREST(DISH;INTERACT)+ACTION2NEAREST(SERVICE;BOTTOM)+ACTION2NEAREST(POT0;TOP)+ACTION2NEAREST(POT1;RIGHT)+PARTNER_POSITION(SOUTHWEST),3.3250207813798835e-06
