from,to,action,p(s'a|s)
0,0,3,0.45860566448801743
0,0,0,0.06318082788671024
0,2452,2,0.1394335511982571
0,2452,0,0.19389978213507625
0,111,2,0.0332244008714597
0,2103,3,0.008169934640522876
0,1634,2,0.0593681917211329
0,381,2,0.029956427015250545
0,1980,2,0.002178649237472767
0,1213,3,0.0005446623093681918
0,1213,0,0.0010893246187363835
0,1558,1,0.0016339869281045752
0,2216,0,0.0005446623093681918
0,469,2,0.002178649237472767
0,2863,2,0.002178649237472767
0,1468,0,0.0016339869281045752
0,596,2,0.0016339869281045752
0,22,2,0.0005446623093681918
1,1,5,0.4444444444444444
1,1,3,0.2222222222222222
1,1201,1,0.2222222222222222
1,767,5,0.1111111111111111
2,2,5,0.5238095238095238
2,1316,5,0.09523809523809523
2,917,0,0.047619047619047616
2,1664,0,0.2857142857142857
2,1531,0,0.047619047619047616
3,860,3,1.0
4,2835,5,1.0
5,348,2,1.0
6,1487,1,0.6
6,922,3,0.4
7,254,5,0.125
7,422,0,0.0625
7,7,0,0.4375
7,444,2,0.1875
7,2897,0,0.0625
7,2861,2,0.0625
7,1772,5,0.0625
8,743,5,0.75
8,8,1,0.25
9,9,5,0.5
9,727,2,0.5
10,10,3,0.4068965517241379
10,10,5,0.296551724137931
10,10,4,0.020689655172413793
10,1358,1,0.08275862068965517
10,1713,2,0.013793103448275862
10,1444,0,0.04827586206896552
10,67,2,0.013793103448275862
10,816,3,0.006896551724137931
10,2418,2,0.06896551724137931
10,1329,0,0.034482758620689655
10,841,2,0.006896551724137931
11,11,0,0.08163265306122448
11,287,5,0.5714285714285714
11,483,5,0.2857142857142857
11,1527,1,0.02040816326530612
11,1531,0,0.04081632653061224
12,12,5,0.06896551724137931
12,12,3,0.5172413793103449
12,132,2,0.2413793103448276
12,1094,3,0.10344827586206896
12,2048,5,0.034482758620689655
12,1579,3,0.034482758620689655
13,1735,2,1.0
14,14,5,0.8378378378378378
14,1752,0,0.08108108108108109
14,1412,5,0.05405405405405406
14,383,0,0.02702702702702703
15,15,0,0.3333333333333333
15,15,5,0.08333333333333333
15,1157,0,0.25
15,158,1,0.08333333333333333
15,705,2,0.16666666666666666
15,137,5,0.08333333333333333
16,718,0,1.0
17,1715,1,0.12
17,2451,2,0.2
17,741,0,0.44
17,524,1,0.16
17,2710,0,0.04
17,17,5,0.04
18,18,0,0.8333333333333334
18,1065,0,0.16666666666666666
19,2440,3,0.0380952380952381
19,1087,3,0.40476190476190477
19,2618,3,0.3619047619047619
19,1913,3,0.09523809523809523
19,333,3,0.06190476190476191
19,61,3,0.023809523809523808
19,834,3,0.014285714285714285
20,20,5,0.3333333333333333
20,1516,1,0.3333333333333333
20,155,1,0.3333333333333333
21,349,3,0.4367469879518072
21,1385,3,0.3132530120481928
21,1195,1,0.08734939759036145
21,21,1,0.07530120481927711
21,21,5,0.0030120481927710845
21,2810,3,0.030120481927710843
21,2143,3,0.04216867469879518
21,591,2,0.006024096385542169
21,371,3,0.0030120481927710845
21,1047,3,0.0030120481927710845
22,1003,0,0.7291666666666666
22,676,1,0.041666666666666664
22,22,2,0.16666666666666666
22,0,3,0.020833333333333332
22,232,0,0.041666666666666664
23,23,0,0.5
23,2768,0,0.5
24,24,1,0.12878787878787878
24,24,3,0.15151515151515152
24,1959,5,0.25
24,397,0,0.4166666666666667
24,1123,5,0.007575757575757576
24,2275,0,0.030303030303030304
24,1137,0,0.007575757575757576
24,41,2,0.007575757575757576
25,25,5,0.286493860845839
25,25,4,0.019099590723055934
25,25,1,0.20600272851296045
25,25,3,0.32332878581173263
25,996,3,0.01227830832196453
25,783,3,0.08185538881309687
25,2021,5,0.013642564802182811
25,2021,3,0.0068212824010914054
25,2021,1,0.010914051841746248
25,2901,0,0.015006821282401092
25,1196,2,0.002728512960436562
25,47,2,0.001364256480218281
25,400,2,0.002728512960436562
25,1387,0,0.008185538881309686
25,2572,1,0.002728512960436562
25,2572,5,0.001364256480218281
25,2911,0,0.004092769440654843
25,2067,0,0.001364256480218281
26,26,0,0.26126126126126126
26,26,5,0.5615615615615616
26,26,4,0.006006006006006006
26,361,1,0.02702702702702703
26,2753,5,0.1021021021021021
26,139,0,0.009009009009009009
26,139,5,0.009009009009009009
26,1891,2,0.009009009009009009
26,1891,1,0.003003003003003003
26,1720,3,0.003003003003003003
26,886,5,0.003003003003003003
26,1719,3,0.003003003003003003
26,2239,1,0.003003003003003003
27,664,0,0.26666666666666666
27,1057,0,0.5
27,2839,0,0.03333333333333333
27,946,0,0.03333333333333333
27,27,5,0.13333333333333333
27,2002,2,0.03333333333333333
28,1488,1,0.011277802916913224
28,28,0,0.5947822757492429
28,28,5,0.25162727557520276
28,28,4,0.0021232900553447734
