from,to,action,p(s'a|s)
0,2855,3,0.09465020576131687
0,4041,2,0.1440329218106996
0,6439,4,0.05486968449931413
0,6439,5,0.06310013717421124
0,6439,1,0.06584362139917696
0,0,4,0.11659807956104253
0,0,5,0.1262002743484225
0,0,1,0.10013717421124829
0,0,0,0.10013717421124829
0,5630,0,0.05075445816186557
0,2538,3,0.05898491083676269
0,4036,3,0.0027434842249657062
0,1292,3,0.006858710562414266
0,556,3,0.00411522633744856
0,635,3,0.00411522633744856
0,421,3,0.0013717421124828531
0,4473,2,0.0013717421124828531
0,6549,2,0.0013717421124828531
0,2647,2,0.0013717421124828531
0,6577,5,0.0013717421124828531
1,800,2,0.07156308851224105
1,1,1,0.07909604519774012
1,1,3,0.07721280602636535
1,1,4,0.12052730696798493
1,5478,3,0.054613935969868174
1,5478,0,0.018832391713747645
1,1348,3,0.047080979284369114
1,1411,5,0.04896421845574388
1,3054,0,0.05273069679849341
1,6268,4,0.060263653483992465
1,6268,3,0.03954802259887006
1,6268,1,0.07721280602636535
1,6053,5,0.03389830508474576
1,566,0,0.013182674199623353
1,3545,0,0.0583804143126177
1,887,5,0.03766478342749529
1,4706,2,0.08286252354048965
1,1047,2,0.005649717514124294
1,2362,5,0.007532956685499058
1,5984,2,0.009416195856873822
1,10,0,0.003766478342749529
2,6098,4,1.0
3,3330,2,0.1
3,6392,1,0.15714285714285714
3,6392,5,0.11428571428571428
3,6392,3,0.1
3,6392,4,0.11428571428571428
3,2828,2,0.014285714285714285
3,6101,3,0.12857142857142856
3,6150,0,0.1
3,4139,0,0.07142857142857142
3,4548,2,0.02857142857142857
3,1526,2,0.02857142857142857
3,5933,0,0.02857142857142857
3,1813,2,0.014285714285714285
4,4,5,0.15789473684210525
4,4,1,0.07894736842105263
4,4,4,0.15789473684210525
4,2788,3,0.10526315789473684
4,2788,2,0.18421052631578946
4,4752,3,0.05263157894736842
4,5740,3,0.02631578947368421
4,4204,2,0.02631578947368421
4,183,3,0.02631578947368421
4,137,5,0.02631578947368421
4,137,1,0.02631578947368421
4,616,0,0.10526315789473684
4,462,0,0.02631578947368421
5,5,5,0.25
5,5,0,0.25
5,5979,1,0.125
