from,to,action,p(s'a|s)
0,0,4,0.48936170212765956
0,0,1,0.1276595744680851
0,0,5,0.0425531914893617
0,2259,4,0.0425531914893617
0,1308,3,0.02127659574468085
0,2552,2,0.02127659574468085
0,1360,2,0.2553191489361702
1,1,4,0.4
1,1,0,0.1
1,1,5,0.1
1,2949,1,0.2
1,530,4,0.1
1,530,3,0.1
2,111,1,0.2
2,270,5,0.13333333333333333
2,2,4,0.4
2,2,3,0.03333333333333333
2,1088,5,0.13333333333333333
2,535,4,0.06666666666666667
2,2062,1,0.03333333333333333
3,3,1,0.04
3,3,4,0.32
3,3,3,0.06
3,3,5,0.02
3,54,0,0.02
3,54,4,0.02
3,2744,0,0.1
3,2744,4,0.04
3,2946,0,0.02
3,992,0,0.12
3,2294,1,0.02
3,2758,1,0.08
3,2758,4,0.04
3,759,0,0.02
3,1711,2,0.02
3,2622,2,0.02
3,1295,2,0.04
4,4,4,0.5
4,808,2,0.25
4,2887,1,0.25
5,928,0,1.0
6,6,4,0.5853658536585366
6,6,0,0.024390243902439025
6,6,5,0.12195121951219512
6,2111,2,0.14634146341463414
6,260,3,0.12195121951219512
7,7,4,0.2
7,7,1,0.2
7,1609,2,0.2
7,358,5,0.2
7,287,4,0.2
8,1326,1,1.0
9,9,4,0.3333333333333333
9,9,2,0.25
9,9,5,0.08333333333333333
9,2125,1,0.08333333333333333
9,1470,1,0.08333333333333333
9,684,0,0.08333333333333333
9,1736,5,0.08333333333333333
10,939,0,0.06329113924050633
10,939,4,0.0759493670886076
10,939,3,0.02531645569620253
10,939,1,0.012658227848101266
10,2858,5,0.02531645569620253
10,10,3,0.0379746835443038
10,10,4,0.4050632911392405
10,10,1,0.06329113924050633
10,10,0,0.06329113924050633
10,461,0,0.11392405063291139
10,2003,0,0.02531645569620253
10,924,0,0.012658227848101266
10,459,2,0.0379746835443038
10,326,2,0.0379746835443038
11,11,4,0.75
11,2045,2,0.25
12,2194,5,1.0
13,13,4,0.5
13,829,3,0.5
14,2484,0,0.25
14,14,4,0.5
14,370,4,0.25
15,15,5,0.125
15,15,4,0.55
15,2556,1,0.1
15,1925,1,0.2
15,2926,1,0.025
16,16,4,0.42857142857142855
16,16,3,0.14285714285714285
16,16,5,0.14285714285714285
16,59,1,0.14285714285714285
16,184,1,0.14285714285714285
17,1645,4,1.0
18,483,0,0.25
18,18,4,0.5
18,1453,3,0.25
19,19,4,0.4511802575107296
19,19,5,0.14377682403433475
19,19,0,0.13197424892703863
19,1475,2,0.22103004291845493
19,1701,0,0.004291845493562232
19,1701,4,0.018776824034334765
19,1701,5,0.00536480686695279
19,2791,2,0.0101931330472103
19,1354,4,0.002682403433476395
19,1354,5,0.000536480686695279
19,1354,0,0.001072961373390558
19,2913,3,0.002682403433476395
19,1872,2,0.001609442060085837
19,734,1,0.0037553648068669528
19,1847,3,0.001072961373390558
20,20,4,0.418
20,20,2,0.204
20,2972,5,0.316
20,134,5,0.026
20,2419,4,0.02
20,2419,2,0.01
20,950,0,0.004
20,2185,1,0.002
21,2987,2,0.7692307692307693
21,2176,2,0.02564102564102564
21,2550,2,0.02564102564102564
21,21,0,0.05128205128205128
21,21,4,0.07692307692307693
21,1957,0,0.02564102564102564
21,2165,4,0.02564102564102564
22,152,5,0.4028033935817042
22,22,4,0.33308742161564
22,22,1,0.19254887495389156
22,1668,2,0.0014754703061600886
22,1623,5,0.012910365178900774
22,1024,4,0.009221689413500553
22,1024,1,0.004795278495020288
22,1794,3,0.018074511250461084
22,2370,2,0.015123570638140908
22,305,3,0.0007377351530800443
22,2409,3,0.00036886757654002215
22,1999,5,0.002950940612320177
22,402,1,0.0014754703061600886
22,402,4,0.00036886757654002215
22,720,0,0.0033198081888601992
22,458,4,0.0007377351530800443
23,1204,0,0.2549019607843137
23,23,4,0.2627450980392157
23,23,3,0.16470588235294117
23,23,0,0.00392156862745098
23,1759,3,0.0784313725490196
23,1759,4,0.10196078431372549
23,1759,0,0.00784313725490196
23,1235,0,0.043137254901960784
23,2477,0,0.011764705882352941
23,2132,3,0.023529411764705882
23,2132,4,0.023529411764705882
23,996,2,0.00392156862745098
23,2858,1,0.011764705882352941
23,2414,0,0.00392156862745098
23,1619,1,0.00392156862745098
24,24,5,0.5
24,1765,1,0.5
25,25,4,0.3333333333333333
25,25,2,0.1111111111111111
25,1095,1,0.1111111111111111
25,1646,1,0.4444444444444444
26,715,4,0.16666666666666666
26,1547,4,0.16666666666666666
26,26,4,0.3333333333333333
26,2604,5,0.16666666666666666
26,590,4,0.16666666666666666
27,480,5,0.425531914893617
27,27,3,0.2553191489361702
27,27,4,0.2765957446808511
27,1140,3,0.02127659574468085
27,1140,4,0.02127659574468085
28,28,4,0.5
28,746,2,0.5
29,29,4,0.5
29,1240,4,0.5
30,1487,4,1.0
31,2059,2,0.015151515151515152
31,596,2,0.3181818181818182
31,2401,1,0.15151515151515152
31,2401,4,0.045454545454545456
31,1535,2,0.06060606060606061
31,31,1,0.10606060606060606
31,31,4,0.07575757575757576
31,1564,4,0.030303030303030304
31,1564,1,0.015151515151515152
31,2312,2,0.015151515151515152
31,2340,2,0.09090909090909091
31,728,1,0.030303030303030304
31,554,0,0.015151515151515152
31,2782,4,0.030303030303030304
32,2658,0,0.06666666666666667
32,2081,0,0.4
32,32,4,0.37777777777777777
