from,to,action,p(s'a|s)
0,470,1,0.6666666666666666
0,0,4,0.3333333333333333
1,1851,0,0.1794871794871795
1,1851,4,0.02564102564102564
1,1851,5,0.01282051282051282
1,1,4,0.23076923076923078
1,1,5,0.01282051282051282
1,1,1,0.16666666666666666
1,1,0,0.02564102564102564
1,1715,2,0.02564102564102564
1,227,3,0.08974358974358974
1,1936,2,0.07692307692307693
1,1111,3,0.02564102564102564
1,1951,5,0.10256410256410256
1,1763,2,0.01282051282051282
1,467,3,0.01282051282051282
2,2,0,0.3333333333333333
2,2,4,0.3333333333333333
2,2639,1,0.3333333333333333
3,3,4,0.18604651162790697
3,3,2,0.16279069767441862
3,3,5,0.11627906976744186
3,808,1,0.06976744186046512
3,2210,0,0.20930232558139536
3,2210,3,0.06976744186046512
3,2012,1,0.023255813953488372
3,1316,3,0.10465116279069768
3,343,1,0.046511627906976744
3,796,1,0.011627906976744186
4,4,5,0.17289719626168223
4,4,4,0.14953271028037382
4,2817,1,0.014018691588785047
4,2817,5,0.009345794392523364
4,401,2,0.1308411214953271
4,1812,3,0.16822429906542055
4,2220,3,0.009345794392523364
4,670,1,0.0794392523364486
4,1854,1,0.014018691588785047
4,1854,2,0.014018691588785047
4,2247,0,0.06542056074766354
4,417,0,0.06542056074766354
4,873,3,0.018691588785046728
4,2814,0,0.0514018691588785
4,1012,0,0.009345794392523364
4,1171,1,0.009345794392523364
4,1608,3,0.004672897196261682
4,2829,1,0.004672897196261682
4,140,1,0.004672897196261682
4,903,3,0.004672897196261682
5,2358,3,0.0223463687150838
5,5,0,0.027932960893854747
5,5,1,0.12290502793296089
5,5,4,0.0782122905027933
5,5,5,0.061452513966480445
5,1422,0,0.0223463687150838
5,1422,4,0.0111731843575419
5,880,3,0.07262569832402235
5,1590,1,0.09497206703910614
5,1590,4,0.03910614525139665
5,1590,5,0.01675977653631285
5,1656,2,0.01675977653631285
5,254,3,0.055865921787709494
5,2821,2,0.0111731843575419
5,564,0,0.0223463687150838
5,2590,2,0.0111731843575419
5,429,2,0.01675977653631285
5,159,5,0.0446927374301676
5,1385,3,0.0223463687150838
5,865,2,0.0223463687150838
5,1729,2,0.01675977653631285
5,630,2,0.0111731843575419
5,2233,2,0.0111731843575419
5,933,0,0.00558659217877095
5,1832,0,0.0335195530726257
5,1435,5,0.0335195530726257
5,1720,5,0.0111731843575419
5,2085,5,0.00558659217877095
5,249,2,0.01675977653631285
5,318,0,0.01675977653631285
5,20,0,0.0223463687150838
5,2609,2,0.00558659217877095
5,1332,2,0.0111731843575419
5,860,2,0.00558659217877095
6,1891,0,0.1400329489291598
6,1891,4,0.0032948929159802307
6,1891,2,0.009884678747940691
6,1891,5,0.0032948929159802307
6,6,4,0.12026359143327842
6,6,2,0.16803953871499178
6,6,1,0.14497528830313014
6,6,0,0.009884678747940691
6,217,5,0.1416803953871499
